tool_1	tool_2	cell_line	nr_union	nr_intersection	perc_compound_val_1	count_group	perc_compound_val_2	total_n_1	total_n_2	w_val_rate	tool_lt_1	tool_lt_2	tool_combo
circtools	circtools	NCI-H23	4397	4397	0.9523809523809524	count ≥ 5	0.9523809523809524	4397	4397	0.9523809523809524	F	F	F
circtools	circtools	HLF	5469	5469	0.9523809523809524	count ≥ 5	0.9523809523809524	5469	5469	0.9523809523809523	F	F	F
circtools	circtools	SW480	4438	4438	0.9523809523809524	count ≥ 5	0.9523809523809524	4438	4438	0.9523809523809524	F	F	F
circtools	CIRCexplorer3	NCI-H23	5768	3376	0.9523809523809524	count ≥ 5	0.9264705882352942	4397	4747	0.9389298917292203	F	A	AF
circtools	CIRCexplorer3	HLF	6925	4074	0.9523809523809524	count ≥ 5	0.9264705882352942	5469	5530	0.9393539214030917	F	A	AF
circtools	CIRCexplorer3	SW480	5871	3491	0.9523809523809524	count ≥ 5	0.9264705882352942	4438	4924	0.9387532410956265	F	A	AF
circtools	CirComPara2	NCI-H23	5720	3589	0.9523809523809524	count ≥ 5	0.9814814814814816	4397	4912	0.9677361783925326	F	B	BF
circtools	CirComPara2	HLF	6671	4378	0.9523809523809524	count ≥ 5	0.9814814814814816	5469	5580	0.9670773911881705	F	B	BF
circtools	CirComPara2	SW480	5872	3767	0.9523809523809524	count ≥ 5	0.9814814814814816	4438	5201	0.9680829807917682	F	B	BF
circtools	circRNA_finder	NCI-H23	4521	2838	0.9523809523809524	count ≥ 5	0.953125	4397	2962	0.952680431800387	F	C	CF
circtools	circRNA_finder	HLF	5597	3656	0.9523809523809524	count ≥ 5	0.953125	5469	3784	0.9526852295008568	F	C	CF
circtools	circRNA_finder	SW480	4563	2876	0.9523809523809524	count ≥ 5	0.953125	4438	3001	0.9526811119326075	F	C	CF
circtools	circseq_cup	NCI-H23	6063	1118	0.9523809523809524	count ≥ 5	0.7297297297297297	4397	2784	0.8660613584718863	F	D	DF
circtools	circseq_cup	HLF	7295	1064	0.9523809523809524	count ≥ 5	0.7297297297297297	5469	2890	0.8754026016856499	F	D	DF
circtools	circseq_cup	SW480	6089	1095	0.9523809523809524	count ≥ 5	0.7297297297297297	4438	2746	0.8672751259054154	F	D	DF
circtools	CIRI2	NCI-H23	6563	4042	0.9523809523809524	count ≥ 5	0.913793103448276	4397	6208	0.9297922332697731	F	G	FG
circtools	CIRI2	HLF	7820	5067	0.9523809523809524	count ≥ 5	0.913793103448276	5469	7418	0.9301690595135206	F	G	FG
circtools	CIRI2	SW480	6655	4117	0.9523809523809524	count ≥ 5	0.913793103448276	4438	6334	0.9296910679454186	F	G	FG
circtools	CIRIquant	NCI-H23	5393	3298	0.9523809523809524	count ≥ 5	0.9830508474576272	4397	4294	0.9675341602349672	F	H	FH
circtools	CIRIquant	HLF	6535	4034	0.9523809523809524	count ≥ 5	0.9830508474576272	5469	5100	0.9671805043623168	F	H	FH
circtools	CIRIquant	SW480	5519	3386	0.9523809523809524	count ≥ 5	0.9830508474576272	4438	4467	0.9677658396698356	F	H	FH
circtools	ecircscreen	NCI-H23	4569	1737	0.9523809523809524	count ≥ 5	0.9666666666666668	4397	1909	0.9567056318245662	F	I	FI
circtools	ecircscreen	HLF	5644	2135	0.9523809523809524	count ≥ 5	0.9666666666666668	5469	2310	0.9566231428938718	F	I	FI
circtools	ecircscreen	SW480	4613	1793	0.9523809523809524	count ≥ 5	0.9666666666666668	4438	1968	0.9567696950775316	F	I	FI
circtools	find_circ	NCI-H23	4885	2555	0.9523809523809524	count ≥ 5	0.9402985074626866	4397	3043	0.9474391674500005	F	J	FJ
circtools	find_circ	HLF	5943	3095	0.9523809523809524	count ≥ 5	0.9402985074626866	5469	3569	0.9476097368561359	F	J	FJ
circtools	find_circ	SW480	4863	2547	0.9523809523809524	count ≥ 5	0.9402985074626866	4438	2972	0.9475349299387006	F	J	FJ
circtools	KNIFE	NCI-H23	5476	800	0.9523809523809524	count ≥ 5	0.9032258064516128	4397	1879	0.9376641711188063	F	K	FK
circtools	KNIFE	HLF	6781	971	0.9523809523809524	count ≥ 5	0.9032258064516128	5469	2283	0.9379045336300903	F	K	FK
circtools	KNIFE	SW480	5594	869	0.9523809523809524	count ≥ 5	0.9032258064516128	4438	2025	0.9369795644021636	F	K	FK
circtools	NCLscan	NCI-H23	5386	752	0.9523809523809524	count ≥ 5	0.9310344827586208	4397	1741	0.9463261782505388	F	N	FN
circtools	NCLscan	HLF	6713	953	0.9523809523809524	count ≥ 5	0.9310344827586208	5469	2197	0.9462632647002501	F	N	FN
circtools	NCLscan	SW480	5421	809	0.9523809523809524	count ≥ 5	0.9310344827586208	4438	1792	0.946240844264866	F	N	FN
circtools	NCLcomparator	NCI-H23	5361	728	0.9523809523809524	count ≥ 5	0.9393939393939394	4397	1692	0.9487721453561494	F	L	FL
circtools	NCLcomparator	HLF	6684	931	0.9523809523809524	count ≥ 5	0.9393939393939394	5469	2146	0.9487210535142249	F	L	FL
circtools	NCLcomparator	SW480	5403	793	0.9523809523809524	count ≥ 5	0.9393939393939394	4438	1758	0.9486961284895435	F	L	FL
