tool_1	tool_2	tool_3	nr_union	cell_line	perc_compound_val_1	count_group	perc_compound_val_2	perc_compound_val_3	total_n_1	total_n_2	total_n_3	w_val_rate	tool_lt_1	tool_lt_2	tool_lt_3	tool_combo
circtools	circtools	circtools	4397	NCI-H23	0.9561507936507936	count ≥ 5	0.9561507936507936	0.9561507936507936	4397	4397	4397	0.9561507936507936	F	F	F	F
circtools	CIRCexplorer3	CirComPara2	6444	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.9625	4397	4747	4912	0.9554136488209545	F	A	B	ABF
circtools	CIRCexplorer3	circRNA_finder	5829	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.9368589743589744	4397	4747	2962	0.9479985569039004	F	A	C	ACF
circtools	CIRCexplorer3	circseq_cup	7318	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.7788351732013704	4397	4747	2784	0.9112819726710222	F	A	D	ADF
circtools	CIRCexplorer3	CIRI2	6803	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.9413793103448276	4397	4747	6208	0.9474711442449211	F	A	G	AFG
circtools	CIRCexplorer3	CIRIquant	6209	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.9623376623376624	4397	4747	4294	0.9550358810764444	F	A	H	AFH
circtools	CIRCexplorer3	ecircscreen	5842	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.9459915611814346	4397	4747	1909	0.9506371245926623	F	A	I	AFI
circtools	CIRCexplorer3	find_circ	5993	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.931033145958519	4397	4747	3043	0.9464698540230665	F	A	J	AFJ
circtools	CIRCexplorer3	KNIFE	6795	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.927353034804754	4397	4747	1879	0.9474726118321211	F	A	K	AFK
circtools	CIRCexplorer3	NCLscan	6728	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.9482758620689656	4397	4747	1741	0.9510741868341209	F	A	N	AFN
circtools	CIRCexplorer3	NCLcomparator	6704	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.9276515151515152	4397	4747	1692	0.9478664277836565	F	A	L	AFL
circtools	CIRCexplorer3	PFv2	6520	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.2439538043478261	4397	4747	958	0.8844983164118545	F	A	M	AFM
circtools	CIRCexplorer3	Sailfish-cir	5768	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	NA	4397	4747	NA	NA	F	A	N	AFN
circtools	CIRCexplorer3	segemehl	6094	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.8947784810126582	4397	4747	1148	0.9452681640137843	F	A	O	AFO
circtools	CIRCexplorer3	CircSplice	5837	NCI-H23	0.9561507936507936	count ≥ 5	0.947398190045249	0.8546995936532509	4397	4747	3228	0.9263227074151335	F	A	E	AEF
circtools	CirComPara2	CIRCexplorer3	6444	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.947398190045249	4397	4912	4747	0.9554136488209545	F	B	A	ABF
circtools	CirComPara2	circRNA_finder	5773	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.9368589743589744	4397	4912	2962	0.9540356386385643	F	B	C	BCF
circtools	CirComPara2	circseq_cup	7285	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.7788351732013704	4397	4912	2784	0.9179088862875346	F	B	D	BDF
circtools	CirComPara2	CIRI2	6971	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.9413793103448276	4397	4912	6208	0.9522509375719038	F	B	G	BFG
circtools	CirComPara2	CIRIquant	6253	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.9623376623376624	4397	4912	4294	0.9603964538528607	F	B	H	BFH
circtools	CirComPara2	ecircscreen	5788	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.9459915611814346	4397	4912	1909	0.9572020796913798	F	B	I	BFI
circtools	CirComPara2	find_circ	5984	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.931033145958519	4397	4912	3043	0.9524877673926744	F	B	J	BFJ
circtools	CirComPara2	KNIFE	6757	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.927353034804754	4397	4912	1879	0.9541018405506502	F	B	K	BFK
circtools	CirComPara2	NCLscan	6673	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.9482758620689656	4397	4912	1741	0.9577324267461185	F	B	N	BFN
circtools	CirComPara2	NCLcomparator	6649	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.9276515151515152	4397	4912	1692	0.9546024364438601	F	B	L	BFL
circtools	CirComPara2	PFv2	6469	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.2439538043478261	4397	4912	958	0.8927342733269463	F	B	M	BFM
circtools	CirComPara2	Sailfish-cir	5720	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	NA	4397	4912	NA	NA	F	B	N	BFN
circtools	CirComPara2	segemehl	6041	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.8947784810126582	4397	4912	1148	0.9523955949015083	F	B	O	BFO
circtools	CirComPara2	CircSplice	5768	NCI-H23	0.9561507936507936	count ≥ 5	0.9625	0.8546995936532509	4397	4912	3228	0.9325169759906863	F	B	E	BEF
circtools	circRNA_finder	CIRCexplorer3	5829	NCI-H23	0.9561507936507936	count ≥ 5	0.9368589743589744	0.947398190045249	4397	2962	4747	0.9479985569039003	F	C	A	ACF
circtools	circRNA_finder	CirComPara2	5773	NCI-H23	0.9561507936507936	count ≥ 5	0.9368589743589744	0.9625	4397	2962	4912	0.9540356386385642	F	C	B	BCF
circtools	circRNA_finder	circseq_cup	6175	NCI-H23	0.9561507936507936	count ≥ 5	0.9368589743589744	0.7788351732013704	4397	2962	2784	0.9018484120996192	F	C	D	CDF
circtools	circRNA_finder	CIRI2	6595	NCI-H23	0.9561507936507936	count ≥ 5	0.9368589743589744	0.9413793103448276	4397	2962	6208	0.94517978037550765	F	C	G	CFG
circtools	circRNA_finder	CIRIquant	5451	NCI-H23	0.9561507936507936	count ≥ 5	0.9368589743589744	0.9623376623376624	4397	2962	4294	0.953526923866107	F	C	H	CFH
circtools	circRNA_finder	ecircscreen	4660	NCI-H23	0.9561507936507936	count ≥ 5	0.9368589743589744	0.9459915611814346	4397	2962	1909	0.9478926642241239	F	C	I	CFI
circtools	circRNA_finder	find_circ	4967	NCI-H23	0.9561507936507936	count ≥ 5	0.9368589743589744	0.931033145958519	4397	2962	3043	0.9433094774933278	F	C	J	CFJ
