circ_id	cell_line	perc_on_target	amp_seq_val	amp_seq_val_detail
chr13:100301459-100340259	HLF	0.9708655705996132	pass	pass
chr1:39350784-39359264	HLF	0.9886061221743226	pass	pass
chr2:190899116-190924593	HLF	1	pass	pass
chrX:150699194-150737448	HLF	0.8246780387137223	pass	pass
chr11:59642879-59647913	HLF	0.8329172268100634	pass	pass
chr10:34269656-34284245	HLF	0.9905533143962	pass	pass
chr2:76080250-76142207	HLF	0.999739175795514	pass	pass
chr5:33546058-33596060	HLF	0.9962543476322128	pass	pass
chr3:196391812-196407393	HLF	0.9979108635097492	pass	pass
chr5:109713519-109729513	HLF	0.9991655540720962	pass	pass
chr11:70896500-71147338	HLF	0.9835663076570532	pass	pass
chr20:37184179-37184373	HLF	0.7955704925167436	pass	pass
chr18:13681604-13682105	HLF	0.9959746387496312	pass	pass
chr18:9182381-9211784	HLF	0.999241562381494	pass	pass
chr8:1876570-1909470	HLF	0.6696516403041707	pass	pass
chr8:17985446-17993619	HLF	0.847574421168688	pass	pass
chr1:112653597-112659779	HLF	0.4812820339136129	fail	fail
chr4:54695511-54709539	HLF	0.9766996346787846	pass	pass
chr10:68014025-68044563	HLF	0.843644825663019	pass	pass
chr9:135850136-135866536	HLF	0.994708703240883	pass	pass
chr2:10788696-10790833	HLF	0.7157802964254577	pass	pass
chr10:131970637-131973943	HLF	0.776559396106476	pass	pass
chr14:88574692-88578140	HLF	0.8743783783783784	pass	pass
chr7:90747680-90863269	HLF	0.9781736076266936	pass	pass
chr19:5039835-5047669	HLF	0.9008861462872516	pass	pass
chr3:158122102-158123991	HLF	0.9203501429154756	pass	pass
chr2:36396613-36479694	HLF	0.9866676709852366	pass	pass
chr6:18159882-18166378	HLF	0.9706790990282536	pass	pass
chr2:47818778-47819078	HLF	0.9996509250486212	pass	pass
chr2:84425414-84449752	HLF	0.928053541550474	pass	pass
chr15:51869216-51902036	NCI-H23	0.8200238379022646	pass	pass
chr4:177353307-177353728	NCI-H23	0.6630064955150016	pass	pass
chr12:6933839-6941023	NCI-H23	0.6043809500665253	pass	pass
chr16:87748672-87762040	NCI-H23	0.9405580947798894	pass	pass
chr20:38065802-38066256	NCI-H23	0.9936648109042042	pass	pass
chr8:17989858-18014840	NCI-H23	0.9982298986214664	pass	pass
chr1:113091317-113100282	NCI-H23	0.27137899694290674	fail	fail
chr2:159743060-159748903	NCI-H23	0.9905463268675196	pass	pass
chr7:45038252-45064646	NCI-H23	0.9999593446355246	pass	pass
chr12:71657548-71660427	NCI-H23	0.9963422821381444	pass	pass
chr1:28473553-28480604	NCI-H23	0.9515627275254498	pass	pass
chr17:68037109-68045921	NCI-H23	0.973935989291318	pass	pass
chr17:29285991-29287716	NCI-H23	0.9856141346192812	pass	pass
chr9:83677726-83678599	NCI-H23	0.9119876936600374	pass	pass
chr2:203380207-203417081	NCI-H23	0.7185473411154345	pass	pass
chr21:36754175-36767285	NCI-H23	0.6347318863156437	pass	pass
chr5:21491320-21497196	NCI-H23	0.9787570364822806	pass	pass
chr12:27368261-27403541	NCI-H23	0.9995272147036228	pass	pass
chr1:21748137-21751615	NCI-H23	0.9996549344375432	pass	pass
chr16:3850296-3851009	NCI-H23	0.9995081639786288	pass	pass
chr2:36396613-36464655	NCI-H23	0.8694955251792155	pass	pass
chr2:68186467-68188690	NCI-H23	0.8088248805586181	pass	pass
chr10:110593072-110598290	NCI-H23	0.9971817097221884	pass	pass
chr16:67444527-67453715	NCI-H23	0.98522451116013	pass	pass
chr7:130170399-130178527	NCI-H23	0.8539725467024226	pass	pass
chr5:618989-655584	NCI-H23	0.999463686377634	pass	pass
chr7:127106495-127243515	SW480	0.9742850276375872	pass	pass
chr5:10213490-10224061	SW480	0.971249377216377	pass	pass
chr6:17647806-17649300	SW480	0.9704134137686302	pass	pass
chr9:123169901-123184298	SW480	0.9540074136373548	pass	pass
chr2:168161786-168182090	SW480	0.9798998586521646	pass	pass
chr4:25127263-25159107	SW480	0.99409884435702	pass	pass
chr1:65364634-65366196	SW480	0.9959310508200604	pass	pass
chr11:65500850-65501193	SW480	0.2525563577427435	fail	fail
chr7:1898199-1936897	SW480	0.9287172823463896	pass	pass
chr1:227139575-227147559	SW480	0.9998090006184742	pass	pass
chr1:32187953-32190249	SW480	0.9842132645850644	pass	pass
chr10:45939360-45962994	SW480	0.9990370443156136	pass	pass
chr2:61482379-61490776	SW480	0.5421115980495032	pass	pass
chr2:235740962-235750488	SW480	0.9712585704750926	pass	pass
chr5:36953617-36986301	SW480	0.9999559820406726	pass	pass
chr1:92605306-92639237	SW480	0.8437994563575959	pass	pass
chr2:60786946-60792289	SW480	0.9986881271672752	pass	pass
chr7:44798747-44799874	SW480	0.9998454237707324	pass	pass
chr12:95208842-95211267	SW480	0.9995461438243524	pass	pass
chr19:38141183-38142710	SW480	0.994527640839612	pass	pass
chr22:31758545-31765060	SW480	0.9878398118111282	pass	pass
chr20:43702489-43705358	SW480	0.9988269794721408	pass	pass
chr6:144537581-144539443	SW480	0.9975200109461586	pass	pass
chr2:63962057-63984019	SW480	0.9992519815296976	pass	pass
chr10:68468122-68470163	HLF	0.9953675108091414	pass	pass
chr5:145764930-145826200	HLF	0.9738185085354896	pass	pass
chr8:100923954-100925039	HLF	0.7779438986188238	pass	pass
chr1:180397515-180413471	HLF	0.9905013192612138	pass	pass
chr16:89418283-89422305	HLF	0.9937210200927356	pass	pass
chr4:9641070-9641450	HLF	0.6541869016772431	pass	pass
chr4:1228198-1241519	HLF	0.85811439200186	pass	pass
chr4:87046165-87108315	HLF	0	fail	fail
chr7:148846469-148847305	HLF	0.9948191469073804	pass	pass
chr17:67945408-67948306	HLF	0.9911093169101356	pass	pass
chr2:15424314-15511350	HLF	0.9997640220577276	pass	pass
chr9:85585462-85596449	HLF	0.9207260793764742	pass	pass
chr5:99532628-99537921	HLF	0.9384557296582972	pass	pass
chr1:41070594-41075451	HLF	0.998065015479876	pass	pass
chr11:62521182-62522334	HLF	0.00187989665819487	fail	fail
chr4:139125163-139139497	HLF	0.7273260320804595	pass	pass
chr10:120858642-120890887	HLF	0.9999035482198618	pass	pass
chr10:118729294-118730410	HLF	0.9992956329241296	pass	pass
chr5:43161248-43161931	HLF	0.9794464794464794	pass	pass
chr12:124419956-124430787	HLF	0.9989088820826952	pass	pass
chr18:54271359-54287411	HLF	0.98906923550629	pass	pass
chr4:5663106-5665649	HLF	0.9995396654902564	pass	pass
chr17:66053735-66096632	HLF	0.9827263290910732	pass	pass
chr22:17876761-17876878	HLF	0.01277372262773722	fail	fail
chr13:110622215-110624279	HLF	0.97576677835427	pass	pass
chr4:24548854-24576678	HLF	0.9996307038937658	pass	pass
chr17:4066446-4072756	HLF	0.9371973173314508	pass	pass
chr6:75702644-75703072	HLF	0.973678071539658	pass	pass
chr22:17876950-17877076	HLF	0.01277372262773722	fail	fail
chr3:11358417-11426926	HLF	0.9921092760962136	pass	pass
chr17:21017941-21028674	HLF	0.9225945945945946	pass	pass
chr3:27418485-27452498	HLF	0.4577351807479946	fail	fail
chr10:92081319-92091944	HLF	0.9997989208753644	pass	pass
chr1:41575543-41585318	HLF	0.9989681233789776	pass	pass
chr9:74996446-75017448	HLF	0.9086733104951727	pass	pass
